,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
354,malonylcarnitine,malonylcarnitine,0.4097,0.0000000000 
355,maltohexaose,maltohexaose,,
356,maltopentaose,maltopentaose,2.2366,0.0000007457 
357,Lactose,maltose,12.9937,0.0000000000 
358,maltotetraose,maltotetraose,8.3914,0.0000000000 
359,maltotriose,maltotriose,10.2093,0.0000000000 
360,Mannitol,mannitol,0.2616,0.0000806731 
361,Mannose,mannose,2.1062,0.0000000048 
362,D-Mannose 6-phosphate,mannose-6-phosphate,7.5303,0.0000000000 
363,margarate,margarate,1.1657,0.0000672110 
364,metformin,metformin,0.7688,0.5814439806 
365,L-Methionine,methionine,0.4882,0.0000000000 
366,methionylalanine,methionylalanine,3.3639,0.0000365589 
367,methionylasparagine,methionylasparagine,1.6002,0.0014367527 
368,Met-Asp,methionylaspartate,1.7921,0.0000481055 
369,Met-Glu,methionylglutamate,1.7835,0.0000033350 
370,methionylglycine,methionylglycine,2.0925,0.0000610351 
371,methionylleucine,methionylleucine,2.5505,0.0000065054 
372,methionylphenylalanine,methionylphenylalanine,1.4522,0.2734752350 
374,methylphosphate,methylphosphate,0.6534,0.0000002280 
375,metoprolol,metoprolol,0.7963,0.4678395712 
377,myo-Inositol,myo-inositol,0.3254,0.0000000000 
378,Tetradecanoic acid,myristate,0.9522,0.1374275187 
379,Myristoleic acid,myristoleate,0.7157,0.0000000000 
380,myristoylcarnitine,myristoylcarnitine,1.7291,0.0001907989 
381,N1-Methyl-2-pyridone-5-carboxamide,N1-Methyl-2-pyridone-5-carboxamide,0.693,0.0000002180 
382,1-methyladenosine,N1-methyladenosine,0.385,0.0000000000 
383,N1-methylguanosine,N1-methylguanosine,0.2637,0.0000000000 
384,"N2,N2-dimethylguanosine","N2,N2-dimethylguanosine",0.3445,0.0000000002 
385,N-Acetyllysine,N2-acetyllysine,2.5817,0.0001224685 
386,N2-methylguanosine,N2-methylguanosine,0.4071,0.0000000000 
387,N6-acetyllysine,N6-acetyllysine,0.2193,0.0000000000 
388,N6-carbamoylthreonyladenosine,N6-carbamoylthreonyladenosine,0.5826,0.0006113523 
389,"N6,N6,N6-Trimethyllysine",N-6-trimethyllysine,0.6301,0.0000000159 
390,N-acetylalanine,N-acetylalanine,0.4498,0.0000000000 
391,N-acetylarginine,N-acetylarginine,4.3233,0.0000760115 
392,N-acetylasparagine,N-acetylasparagine,2.3482,0.0000001945 
393,N-acetylaspartate,N-acetylaspartate,0.0785,0.0000000000 
394,N-Acetylaspartylglutamate,N-acetyl-aspartyl-glutamate,0.2493,0.0000000000 
395,N-Acetylglucosamine,N-acetylglucosamine,0.605,0.0031575969 
396,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,1.9966,0.0000000000 
397,N-acetyl-glutamine,N-acetylglutamine,5.9249,0.0000000005 
398,N-acetylglycine,N-acetylglycine,1.1524,0.0115214234 
399,N-acetylisoleucine,N-acetylisoleucine,1.2094,0.0066391515 
400,N-acetylleucine,N-acetylleucine,1.8608,0.0000030693 
401,N-acetylmethionine,N-acetylmethionine,2.3007,0.0000000003 
402,N-acetylneuraminate,N-acetylneuraminate,2.4707,0.0000000000 
403,N-Acetylornithine,N-acetylornithine,1.1752,0.1998173825 
404,N-acetylphenylalanine,N-acetylphenylalanine,1.1902,0.3407529227 
405,N-acetylserine,N-acetylserine,0.5887,0.0000000000 
406,N-acetylthreonine,N-acetylthreonine,1.2444,0.0143080515 
407,N-acetyltryptophan,N-acetyltryptophan,0.0902,0.0098819951 
408,N-acetyltyrosine,N-acetyltyrosine,1.3418,0.1156433069 
409,N-acetylvaline,N-acetylvaline,1.1003,0.2249107393 
410,naproxen,naproxen,,
411,nervonate,nervonate,2.2917,0.0000000000 
412,nicotinamide,nicotinamide,0.869,0.0065464515 
413,NAD+,nicotinamide adenine dinucleotide,0.5685,0.0001956351 
415,nicotinamide ribonucleotide,nicotinamide ribonucleotide,0.6222,0.0002536182 
416,nicotinamide riboside,nicotinamide riboside,1.3019,0.0551995629 
417,nicotinate,nicotinate,1.0714,0.1290852754 
418,nicotinate adenine dinucleotide,nicotinate adenine dinucleotide,,
419,N-Methylglutamate,N-methylglutamate,0.4476,0.0024888572 
420,oleoylcarnitine,octanoylcarnitine,1.7873,0.0000006690 
421,(9Z)-Octadecenoic acid,oleate,1.5345,0.0000005037 
422,oleoylcarnitine,oleoylcarnitine,1.7818,0.0067839873 
423,Ophthalmate,ophthalmate,1.6118,0.1286531276 
424,L-Ornithine,ornithine,1.1866,0.2940695259 
425,p-acetamidophenylglucuronide,p-acetamidophenylglucuronide,0.2213,0.0303712569 
426,Hexadecanoic acid,palmitate,1.1464,0.0000805095 
427,(9Z)-Hexadecenoic acid,palmitoleate,1.428,0.0000000025 
428,palmitoyl sphingomyelin,palmitoyl sphingomyelin,0.9342,0.2671821136 
429,L-Palmitoylcarnitine,palmitoylcarnitine,1.43,0.0640507820 
430,Pantothenic acid,pantothenate,0.2153,0.0000000000 
431,paroxetine,paroxetine,1.1695,
432,p-cresol sulfate,p-cresol sulfate,0.5543,0.0000021652 
433,pelargonate,pelargonate,0.8817,0.0037165508 
434,penicillin G,penicillin G,1.9824,0.0275684106 
435,pentadecanoate,pentadecanoate,1.2977,0.0000010048 
436,phenol red,phenol red,0.5979,0.0294839466 
437,phenol sulfate,phenol sulfate,0.5436,0.0009649156 
438,phenylacetylglutamine,phenylacetylglutamine,0.1057,0.0000000000 
439,phenylalanine,phenylalanine,0.5908,0.0000000000 
440,phenylalanylalanine,phenylalanylalanine,7.2485,0.0000000000 
441,phenylalanylarginine,phenylalanylarginine,1.5711,0.2724884561 
442,Phe-Asp,phenylalanylaspartate,2.7089,0.0000000322 
443,Phe-Glu,phenylalanylglutamate,3.3922,0.0000000188 
444,phenylalanylglycine,phenylalanylglycine,2.4345,0.0000000028 
445,phenylalanylleucine,phenylalanylleucine,3.7126,0.0000000026 
446,phenylalanylmethionine,phenylalanylmethionine,1.6341,0.0001710687 
447,phenylalanylphenylalanine,phenylalanylphenylalanine,1.6303,0.0000544151 
448,phenylalanylproline,phenylalanylproline,2.274,0.0000104000 
449,phenylalanylserine,phenylalanylserine,3.2198,0.0000000000 
450,phenylalanyltryptophan,phenylalanyltryptophan,1.6134,0.0022875130 
451,phenylalanyltyrosine,phenylalanyltyrosine,1.7841,0.0001659045 
452,phenylalanylvaline,phenylalanylvaline,2.2608,0.0000054571 
453,Orthophosphate,phosphate,0.8045,0.0000001319 
454,Phosphoenolpyruvate,phosphoenolpyruvate,0.4225,0.0000000001 
455,phosphoethanolamine,phosphoethanolamine,0.9158,0.0399868880 
456,4-Hydroxysphinganine,phytosphingosine,0.823,0.0944844447 
457,Pipecolic acid,pipecolate,1.3704,0.0586305643 
458,piperine,piperine,1.1304,0.1640302616 
459,pivaloylcarnitine,pivaloylcarnitine,0.6787,0.2250162571 
460,pregnanediol-3-glucuronide,pregnanediol-3-glucuronide,0.7525,0.0641614386 
462,pro-hydroxy-pro,pro-hydroxy-pro,0.4529,0.0000000000 
463,L-Proline,proline,0.5036,0.0000000000 
464,prolylglycine,prolylglycine,0.5363,0.0000000000 
465,prolylmethionine,prolylmethionine,2.0223,0.0000226020 
